,Date,Price (Euros)
0,04.09.2022,0.04
1,05.09.2022,0.14
2,12.09.2022,0.1
3,13.09.2022,0.04
4,14.09.2022,0.17
5,15.09.2022,0.05
6,16.09.2022,0.05
7,17.09.2022,0.05
8,18.09.2022,0.06
9,19.09.2022,0.07
10,20.09.2022,0.03
11,21.09.2022,0.05
12,22.09.2022,0.04
13,23.09.2022,0.06
14,24.09.2022,0.04
15,25.09.2022,0.08
16,26.09.2022,0.04
17,27.09.2022,0.03
18,28.09.2022,0.04
19,29.09.2022,0.02
20,30.09.2022,0.02
21,01.10.2022,0.04
22,02.10.2022,0.05
23,03.10.2022,0.06
24,04.10.2022,0.08
25,05.10.2022,0.05
