,Date,Price (Euros)
0,04.09.2022,0.04
1,05.09.2022,0.04
2,12.09.2022,0.1
3,13.09.2022,0.04
4,14.09.2022,0.17
5,15.09.2022,0.06
6,16.09.2022,0.07
7,17.09.2022,0.03
8,18.09.2022,0.03
9,19.09.2022,0.07
10,20.09.2022,0.05
11,21.09.2022,0.03
12,22.09.2022,0.04
13,23.09.2022,0.06
14,24.09.2022,0.04
15,25.09.2022,0.09
16,26.09.2022,0.06
17,27.09.2022,0.04
18,28.09.2022,0.05
19,29.09.2022,0.02
20,30.09.2022,0.04
21,01.10.2022,0.05
22,02.10.2022,0.08
23,03.10.2022,0.06
24,04.10.2022,0.03
25,05.10.2022,0.07
