,Date,Price (Euros)
0,23.08.2022,0.05
1,24.08.2022,0.02
2,25.08.2022,0.14
3,26.08.2022,0.03
4,27.08.2022,0.03
5,28.08.2022,0.02
6,29.08.2022,0.02
7,30.08.2022,0.04
8,31.08.2022,0.05
9,01.09.2022,0.05
10,02.09.2022,0.02
11,03.09.2022,0.1
12,04.09.2022,0.02
13,05.09.2022,0.2
14,06.09.2022,0.03
15,07.09.2022,0.04
16,08.09.2022,0.06
17,09.09.2022,0.05
18,10.09.2022,0.07
19,11.09.2022,0.05
20,12.09.2022,0.1
21,13.09.2022,0.02
22,14.09.2022,0.2
23,15.09.2022,0.06
24,16.09.2022,0.02
25,17.09.2022,0.09
26,18.09.2022,0.12
27,19.09.2022,0.08
28,20.09.2022,0.06
29,21.09.2022,0.08
30,22.09.2022,0.07
31,23.09.2022,0.03
32,24.09.2022,0.07
33,25.09.2022,0.05
34,26.09.2022,0.02
35,27.09.2022,0.15
36,28.09.2022,0.05
37,29.09.2022,0.04
38,30.09.2022,0.04
39,01.10.2022,0.04
40,02.10.2022,0.1
41,03.10.2022,0.02
42,04.10.2022,0.07
43,05.10.2022,0.09
